,Network,maze_1,maze_2,std,mean,error
69,classification-xresnet18_deeper-notpretrained-2.pkl,528,528,0.0,528.0,0.0
70,classification-xresnet18_deeper-notpretrained-3.pkl,290,494,144.2497833620557,392.0,199.91999999999996
71,classification-xresnet18_deeper-pretrained-0.pkl,885,528,252.43712088359746,706.5,349.85999999999996
72,classification-xresnet18_deeper-pretrained-1.pkl,647,528,84.14570696119915,587.5,116.61999999999999
73,classification-xresnet18_deeper-pretrained-2.pkl,868,749,84.14570696119915,808.5,116.61999999999999
74,classification-xresnet18_deeper-pretrained-3.pkl,1325,921,285.6711395993652,1123.0,395.91999999999996
75,classification-xresnet50-notpretrained-0.pkl,528,630,72.12489168102785,579.0,99.95999999999998
76,classification-xresnet50-notpretrained-1.pkl,307,358,36.062445840513924,332.5,49.97999999999999
77,classification-xresnet50-notpretrained-2.pkl,562,392,120.20815280171308,477.0,166.6
78,classification-xresnet50-notpretrained-3.pkl,494,511,12.020815280171307,502.5,16.659999999999997
79,classification-xresnet50-pretrained-0.pkl,477,511,24.041630560342615,494.0,33.31999999999999
80,classification-xresnet50-pretrained-1.pkl,460,815,251.02290732122438,637.5,347.9
81,classification-xresnet50-pretrained-2.pkl,494,477,12.020815280171307,485.5,16.659999999999997
82,classification-xresnet50-pretrained-3.pkl,1206,596,431.335136523794,901.0,597.8
83,classification-xresnet50_deep-notpretrained-0.pkl,647,392,180.31222920256963,519.5,249.9
84,classification-xresnet50_deep-notpretrained-1.pkl,664,494,120.20815280171308,579.0,166.6
85,classification-xresnet50_deep-notpretrained-2.pkl,681,528,108.18733752154178,604.5,149.94
86,classification-xresnet50_deep-notpretrained-3.pkl,664,494,120.20815280171308,579.0,166.6
87,classification-xresnet50_deep-pretrained-0.pkl,1360,889,333.0472939388639,1124.5,461.58
88,classification-xresnet50_deep-pretrained-1.pkl,1421,928,348.6036431249679,1174.5,483.13999999999993
89,classification-xresnet50_deep-pretrained-2.pkl,324,896,404.4650788387052,610.0,560.56
90,classification-xresnet50_deep-pretrained-3.pkl,1300,936,257.3868683519033,1118.0,356.7199999999999
91,classification-xresnet50_deeper-notpretrained-0.pkl,698,917,154.8563850798539,807.5,214.61999999999998
92,classification-xresnet50_deeper-notpretrained-1.pkl,837,358,338.70414818835627,597.5,469.42
93,classification-xresnet50_deeper-notpretrained-2.pkl,698,840,100.40916292848975,769.0,139.16
94,classification-xresnet50_deeper-notpretrained-3.pkl,783,494,204.35385976291224,638.5,283.21999999999997
95,classification-xresnet50_deeper-pretrained-0.pkl,1057,927,91.92388155425118,992.0,127.39999999999999
96,classification-xresnet50_deeper-pretrained-1.pkl,967,922,31.81980515339464,944.5,44.099999999999994
97,classification-xresnet50_deeper-pretrained-2.pkl,1342,915,301.9345955666558,1128.5,418.46
98,classification-xresnet50_deeper-pretrained-3.pkl,664,856,135.7645019878171,760.0,188.15999999999994
99,classification-xresnext18-notpretrained-0.pkl,528,494,24.041630560342615,511.0,33.31999999999999
100,classification-xresnext18-notpretrained-1.pkl,341,477,96.16652224137046,409.0,133.27999999999997
101,classification-xresnext18-notpretrained-2.pkl,511,579,48.08326112068523,545.0,66.63999999999999
102,classification-xresnext18-notpretrained-3.pkl,477,817,240.41630560342617,647.0,333.2
103,classification-xresnext18-pretrained-0.pkl,438,851,292.03510063004416,644.5,404.74
104,classification-xresnext18-pretrained-1.pkl,443,426,12.020815280171307,434.5,16.659999999999997
105,classification-xresnext18-pretrained-2.pkl,1259,256,709.2281015301072,757.5,982.94
106,classification-xresnext18-pretrained-3.pkl,1279,698,410.82903986938413,988.5,569.38
107,classification-xresnext50-notpretrained-0.pkl,358,120,168.2914139223983,239.0,233.23999999999998
108,classification-xresnext50-notpretrained-1.pkl,562,409,108.18733752154178,485.5,149.94
109,classification-xresnext50-notpretrained-2.pkl,511,358,108.18733752154178,434.5,149.94
110,classification-xresnext50-notpretrained-3.pkl,460,766,216.37467504308356,613.0,299.88
111,classification-xresnext50-pretrained-0.pkl,314,222,65.05382386916237,268.0,90.16
112,classification-xresnext50-pretrained-1.pkl,1333,494,593.2625894155134,913.5,822.2199999999999
113,classification-xresnext50-pretrained-2.pkl,316,647,234.05234457274722,481.5,324.37999999999994
114,classification-xresnext50-pretrained-3.pkl,324,280,31.11269837220809,302.0,43.12
115,classification-xse_resnet18-notpretrained-0.pkl,477,477,0.0,477.0,0.0
116,classification-xse_resnet18-notpretrained-1.pkl,460,749,204.35385976291224,604.5,283.21999999999997
117,classification-xse_resnet18-notpretrained-2.pkl,1312,833,338.70414818835627,1072.5,469.42
118,classification-xse_resnet18-notpretrained-3.pkl,290,477,132.22896808188437,383.5,183.26
119,classification-xse_resnet18-pretrained-0.pkl,324,249,53.033008588991066,286.5,73.5
120,classification-xse_resnet18-pretrained-1.pkl,851,834,12.020815280171307,842.5,16.659999999999997
121,classification-xse_resnet18-pretrained-2.pkl,308,265,30.405591591021544,286.5,42.14
122,classification-xse_resnet18-pretrained-3.pkl,315,262,37.476659402887016,288.5,51.93999999999999
123,classification-xse_resnet50-notpretrained-0.pkl,477,477,0.0,477.0,0.0
124,classification-xse_resnet50-notpretrained-1.pkl,562,630,48.08326112068523,596.0,66.63999999999999
125,classification-xse_resnet50-notpretrained-2.pkl,341,120,156.27059864222701,230.5,216.57999999999998
126,classification-xse_resnet50-pretrained-0.pkl,310,341,21.920310216782973,325.5,30.379999999999995
127,classification-xse_resnet50-pretrained-1.pkl,976,273,497.0960671741429,624.5,688.9399999999999
128,classification-xse_resnet50-pretrained-2.pkl,588,237,248.19448019647817,412.5,343.97999999999996
129,classification-xse_resnext18-notpretrained-0.pkl,358,392,24.041630560342615,375.0,33.31999999999999
130,classification-xse_resnext18-notpretrained-1.pkl,477,749,192.33304448274092,613.0,266.55999999999995
131,classification-xse_resnext18-notpretrained-2.pkl,664,613,36.062445840513924,638.5,49.97999999999999
132,classification-xse_resnext18-notpretrained-3.pkl,528,477,36.062445840513924,502.5,49.97999999999999
133,classification-xse_resnext18-pretrained-0.pkl,766,511,180.31222920256963,638.5,249.9
134,classification-xse_resnext18-pretrained-1.pkl,851,455,280.0142853498728,653.0,388.08
135,classification-xse_resnext18-pretrained-2.pkl,460,299,113.84419177103415,379.5,157.77999999999997
136,classification-xse_resnext18-pretrained-3.pkl,404,358,32.526911934581186,381.0,45.08
137,classification-xse_resnext18_deep-notpretrained-0.pkl,460,545,60.10407640085654,502.5,83.3
138,classification-xse_resnext18_deep-notpretrained-1.pkl,380,494,80.61017305526642,437.0,111.72
139,classification-xse_resnext18_deep-notpretrained-2.pkl,358,596,168.2914139223983,477.0,233.23999999999998
140,classification-xse_resnext18_deep-notpretrained-3.pkl,290,477,132.22896808188437,383.5,183.26
141,classification-xse_resnext18_deep-pretrained-0.pkl,630,329,212.83914113715082,479.5,294.98
142,classification-xse_resnext18_deep-pretrained-1.pkl,630,284,244.65894629054543,457.0,339.08
143,classification-xse_resnext18_deep-pretrained-2.pkl,630,266,257.3868683519033,448.0,356.7199999999999
144,classification-xse_resnext18_deep-pretrained-3.pkl,647,300,245.36605307173198,473.5,340.05999999999995
145,classification-xse_resnext18_deeper-notpretrained-0.pkl,1397,409,698.6214998123089,903.0,968.2399999999998
146,classification-xse_resnext18_deeper-notpretrained-1.pkl,375,358,12.020815280171307,366.5,16.659999999999997
147,classification-xse_resnext18_deeper-notpretrained-2.pkl,749,494,180.31222920256963,621.5,249.9
148,classification-xse_resnext18_deeper-notpretrained-3.pkl,715,375,240.41630560342617,545.0,333.2
149,classification-xse_resnext18_deeper-pretrained-0.pkl,647,312,236.88077169749343,479.5,328.29999999999995
150,classification-xse_resnext18_deeper-pretrained-1.pkl,630,268,255.9726547895302,449.0,354.75999999999993
151,classification-xse_resnext18_deeper-pretrained-2.pkl,1351,528,581.9488809165287,939.5,806.54
152,classification-xse_resnext18_deeper-pretrained-3.pkl,647,900,178.89801564019652,773.5,247.94
153,classification-xse_resnext50-notpretrained-0.pkl,290,50,169.7056274847714,170.0,235.2
154,classification-xse_resnext50-notpretrained-1.pkl,290,630,240.41630560342617,460.0,333.2
155,classification-xse_resnext50-notpretrained-2.pkl,494,494,0.0,494.0,0.0
156,classification-xse_resnext50-notpretrained-3.pkl,460,630,120.20815280171308,545.0,166.6
157,classification-xse_resnext50-pretrained-0.pkl,316,307,6.363961030678928,311.5,8.819999999999999
158,classification-xse_resnext50-pretrained-1.pkl,313,307,4.242640687119285,310.0,5.879999999999998
159,classification-xse_resnext50-pretrained-2.pkl,324,297,19.091883092036785,310.5,26.459999999999997
160,classification-xse_resnext50-pretrained-3.pkl,585,400,130.8147545195113,492.5,181.29999999999998
161,classification-xse_resnext50_deep-notpretrained-0.pkl,681,885,144.2497833620557,783.0,199.91999999999996
162,classification-xse_resnext50_deep-notpretrained-1.pkl,443,848,286.37824638055173,645.5,396.9
163,classification-xse_resnext50_deep-notpretrained-2.pkl,647,477,120.20815280171308,562.0,166.6
164,classification-xse_resnext50_deep-notpretrained-3.pkl,664,375,204.35385976291224,519.5,283.21999999999997
165,classification-xse_resnext50_deep-pretrained-0.pkl,647,270,266.5792565073284,458.5,369.46
166,classification-xse_resnext50_deep-pretrained-1.pkl,678,179,352.8462838120872,428.5,489.02
167,classification-xse_resnext50_deep-pretrained-2.pkl,290,231,41.71930009000631,260.5,57.82
168,classification-xse_resnext50_deep-pretrained-3.pkl,1376,241,802.5661966467314,808.5,1112.3
169,classification-xse_resnext50_deeper-notpretrained-0.pkl,664,409,180.31222920256963,536.5,249.9
170,classification-xse_resnext50_deeper-notpretrained-1.pkl,511,878,259.50818869546293,694.5,359.65999999999997
171,classification-xse_resnext50_deeper-notpretrained-2.pkl,477,460,12.020815280171307,468.5,16.659999999999997
172,classification-xse_resnext50_deeper-notpretrained-3.pkl,477,800,228.39549032325485,638.5,316.53999999999996
173,classification-xse_resnext50_deeper-pretrained-0.pkl,647,358,204.35385976291224,502.5,283.21999999999997
174,classification-xse_resnext50_deeper-pretrained-1.pkl,477,252,159.0990257669732,364.5,220.5
175,classification-xse_resnext50_deeper-pretrained-2.pkl,1336,330,711.3494218736668,833.0,985.8799999999999
176,classification-xse_resnext50_deeper-pretrained-3.pkl,630,817,132.22896808188437,723.5,183.26
