,Network,maze_1,maze_2,std,mean,error
0,classification-alexnet-pretrained-0.pkl,34.61538461538461,83.33333333333334,34.448791903960014,58.97435897435898,47.743589743589745
1,classification-alexnet-pretrained-1.pkl,34.61538461538461,83.33333333333334,34.448791903960014,58.97435897435898,47.743589743589745
2,classification-alexnet-pretrained-2.pkl,21.153846153846153,83.33333333333334,43.967537035317385,52.24358974358975,60.93589743589744
3,classification-alexnet-pretrained-3.pkl,34.61538461538461,83.33333333333334,34.448791903960014,58.97435897435898,47.743589743589745
4,classification-densenet121-notpretrained-0.pkl,46.15384615384615,50.0,2.7196414661021064,48.07692307692308,3.7692307692307696
5,classification-densenet121-notpretrained-1.pkl,34.61538461538461,50.0,10.878565864408424,42.30769230769231,15.076923076923077
6,classification-densenet121-notpretrained-2.pkl,34.61538461538461,83.33333333333334,34.448791903960014,58.97435897435898,47.743589743589745
7,classification-densenet121-notpretrained-3.pkl,46.15384615384615,83.33333333333334,26.289867505653696,64.74358974358975,36.435897435897445
8,classification-densenet121-pretrained-0.pkl,46.15384615384615,97.22222222222221,36.110795022133516,71.68803418803418,50.047008547008545
9,classification-densenet121-pretrained-1.pkl,46.15384615384615,50.0,2.7196414661021064,48.07692307692308,3.7692307692307696
10,classification-densenet121-pretrained-2.pkl,61.53846153846154,50.0,8.158924398306318,55.769230769230774,11.307692307692308
11,classification-densenet121-pretrained-3.pkl,46.15384615384615,97.22222222222221,36.110795022133516,71.68803418803418,50.047008547008545
12,classification-densenet201-pretrained-0.pkl,46.15384615384615,97.22222222222221,36.110795022133516,71.68803418803418,50.047008547008545
13,classification-densenet201-pretrained-1.pkl,98.07692307692307,97.22222222222221,0.6043647702449102,97.64957264957263,0.8376068376068345
14,classification-densenet201-pretrained-2.pkl,34.61538461538461,97.22222222222221,44.26971942043983,65.9188034188034,61.35470085470084
15,classification-densenet201-pretrained-3.pkl,34.61538461538461,97.22222222222221,44.26971942043983,65.9188034188034,61.35470085470084
16,classification-resnet18-notpretrained-0.pkl,34.61538461538461,50.0,10.878565864408424,42.30769230769231,15.076923076923077
17,classification-resnet18-notpretrained-1.pkl,19.230769230769234,5.555555555555555,9.6698363239186,12.393162393162395,13.401709401709402
18,classification-resnet18-notpretrained-2.pkl,19.230769230769234,5.555555555555555,9.6698363239186,12.393162393162395,13.401709401709402
19,classification-resnet18-notpretrained-3.pkl,34.61538461538461,36.11111111111111,1.0576383479285953,35.363247863247864,1.465811965811964
20,classification-resnet18-pretrained-0.pkl,46.15384615384615,72.22222222222221,18.433125492469824,59.18803418803418,25.547008547008538
21,classification-resnet18-pretrained-1.pkl,34.61538461538461,97.22222222222221,44.26971942043983,65.9188034188034,61.35470085470084
22,classification-resnet18-pretrained-2.pkl,19.230769230769234,97.22222222222221,55.14828528484825,58.22649572649573,76.43162393162392
23,classification-resnet18-pretrained-3.pkl,34.61538461538461,97.22222222222221,44.26971942043983,65.9188034188034,61.35470085470084
24,classification-resnet50-notpretrained-0.pkl,34.61538461538461,50.0,10.878565864408424,42.30769230769231,15.076923076923077
25,classification-resnet50-notpretrained-1.pkl,34.61538461538461,50.0,10.878565864408424,42.30769230769231,15.076923076923077
26,classification-resnet50-notpretrained-2.pkl,34.61538461538461,50.0,10.878565864408424,42.30769230769231,15.076923076923077
27,classification-resnet50-notpretrained-3.pkl,34.61538461538461,50.0,10.878565864408424,42.30769230769231,15.076923076923077
28,classification-resnet50-pretrained-0.pkl,34.61538461538461,97.22222222222221,44.26971942043983,65.9188034188034,61.35470085470084
29,classification-resnet50-pretrained-1.pkl,61.53846153846154,83.33333333333334,15.411301641245272,72.43589743589745,21.358974358974365
30,classification-resnet50-pretrained-2.pkl,34.61538461538461,97.22222222222221,44.26971942043983,65.9188034188034,61.35470085470084
31,classification-resnet50-pretrained-3.pkl,34.61538461538461,97.22222222222221,44.26971942043983,65.9188034188034,61.35470085470084
32,classification-squeezenet1_1-notpretrained-0.pkl,46.15384615384615,83.33333333333334,26.289867505653696,64.74358974358975,36.435897435897445
33,classification-squeezenet1_1-notpretrained-1.pkl,46.15384615384615,50.0,2.7196414661021064,48.07692307692308,3.7692307692307696
34,classification-squeezenet1_1-notpretrained-2.pkl,34.61538461538461,83.33333333333334,34.448791903960014,58.97435897435898,47.743589743589745
35,classification-squeezenet1_1-notpretrained-3.pkl,98.07692307692307,97.22222222222221,0.6043647702449102,97.64957264957263,0.8376068376068345
36,classification-squeezenet1_1-pretrained-0.pkl,61.53846153846154,36.11111111111111,17.97985191478615,48.824786324786324,24.91880341880342
37,classification-squeezenet1_1-pretrained-1.pkl,34.61538461538461,83.33333333333334,34.448791903960014,58.97435897435898,47.743589743589745
38,classification-squeezenet1_1-pretrained-2.pkl,34.61538461538461,97.22222222222221,44.26971942043983,65.9188034188034,61.35470085470084
39,classification-squeezenet1_1-pretrained-3.pkl,34.61538461538461,97.22222222222221,44.26971942043983,65.9188034188034,61.35470085470084
40,classification-vgg11_bn-notpretrained-0.pkl,34.61538461538461,83.33333333333334,34.448791903960014,58.97435897435898,47.743589743589745
41,classification-vgg11_bn-notpretrained-1.pkl,34.61538461538461,50.0,10.878565864408424,42.30769230769231,15.076923076923077
42,classification-vgg11_bn-notpretrained-2.pkl,34.61538461538461,50.0,10.878565864408424,42.30769230769231,15.076923076923077
43,classification-vgg11_bn-pretrained-0.pkl,34.61538461538461,50.0,10.878565864408424,42.30769230769231,15.076923076923077
44,classification-vgg11_bn-pretrained-1.pkl,46.15384615384615,97.22222222222221,36.110795022133516,71.68803418803418,50.047008547008545
